grid;velocity;spread_rate;lambda;fraction mélange;T;density;X_H2;X_H;X_O;X_O2;X_OH;X_H2O;X_HO2;X_H2O2;X_C;X_CH;X_CH2;X_CH2(S);X_CH3;X_CH4;X_CO;X_CO2;X_HCO;X_CH2O;X_CH2OH;X_CH3O;X_CH3OH;X_C2H;X_C2H2;X_C2H3;X_C2H4;X_C2H5;X_C2H6;X_HCCO;X_CH2CO;X_HCCOH;X_N;X_NH;X_NH2;X_NH3;X_NNH;X_NO;X_NO2;X_N2O;X_HNO;X_CN;X_HCN;X_H2CN;X_HCNN;X_HCNO;X_HOCN;X_HNCO;X_NCO;X_N2;X_AR;X_C3H7;X_C3H8;X_CH2CHO;X_CH3CHO
0.00628125;-0.403352728;81.46138013;-2646.530354;1.50E-01;1938.877766;0.167605909;0.031656285;0.002036345;2.81E-05;0.001214279;0.000906627;0.160502777;5.57E-07;3.48E-08;6.58E-06;3.50E-06;3.17E-05;1.74E-06;0.000513276;0.000697936;0.054370228;0.066666041;3.58E-06;6.81E-05;1.25E-06;4.72E-08;3.09E-06;6.70E-06;0.007048172;5.15E-06;0.000105695;4.80E-07;2.24E-06;3.07E-05;8.94E-05;1.99E-05;1.19E-06;4.84E-07;1.62E-06;8.75E-06;3.12E-09;0.000136674;1.74E-09;1.18E-07;1.21E-07;1.14E-07;8.82E-05;9.13E-09;3.31E-09;3.11E-06;9.35E-08;9.95E-06;1.80E-07;0.665229658;0.008499133;1.04E-10;6.59E-10;1.54E-08;4.04E-08
0.0063125;-0.410851156;81.12549395;-2646.530354;1.46E-01;1953.936944;0.166613535;0.02985734;0.002337129;4.85E-05;0.001479307;0.001148036;0.161125012;6.80E-07;4.24E-08;7.99E-06;4.24E-06;3.34E-05;1.90E-06;0.000427901;0.00049491;0.053233306;0.067304927;4.15E-06;6.77E-05;1.28E-06;4.89E-08;2.65E-06;6.53E-06;0.005334442;3.61E-06;6.10E-05;3.06E-07;1.22E-06;3.43E-05;7.89E-05;1.71E-05;1.42E-06;5.28E-07;1.60E-06;7.32E-06;3.63E-09;0.000142741;2.20E-09;1.15E-07;1.26E-07;1.35E-07;8.24E-05;8.81E-09;3.75E-09;3.04E-06;9.79E-08;9.43E-06;2.17E-07;0.668095678;0.008537205;5.22E-11;2.70E-10;1.41E-08;3.67E-08
0.00634375;-0.417811167;80.77963647;-2646.530354;1.43E-01;1966.50884;0.165851062;0.027977172;0.002660912;8.36E-05;0.001834676;0.001447112;0.161727492;8.36E-07;5.14E-08;8.99E-06;4.87E-06;3.35E-05;2.00E-06;0.000342018;0.000339013;0.051752123;0.067981362;4.65E-06;6.51E-05;1.25E-06;4.88E-08;2.21E-06;5.99E-06;0.003832025;2.45E-06;3.42E-05;1.82E-07;6.29E-07;3.67E-05;6.69E-05;1.39E-05;1.58E-06;5.59E-07;1.53E-06;5.94E-06;4.19E-09;0.000149457;2.84E-09;1.13E-07;1.30E-07;1.53E-07;7.54E-05;7.71E-09;4.06E-09;2.89E-06;1.00E-07;8.78E-06;2.58E-07;0.670916274;0.008574738;2.42E-11;1.04E-10;1.27E-08;3.17E-08
0.006375;-0.424136674;80.42382648;-2646.530354;1.39E-01;1976.194909;0.165344451;0.02601963;0.003001011;0.000142292;0.002312551;0.001814282;0.162291034;1.03E-06;6.21E-08;9.21E-06;5.18E-06;3.16E-05;1.97E-06;0.00025894;0.000222904;0.049878666;0.068684575;4.95E-06;5.96E-05;1.17E-06;4.62E-08;1.76E-06;5.09E-06;0.002581589;1.59E-06;1.85E-05;9.88E-08;3.02E-07;3.67E-05;5.38E-05;1.06E-05;1.63E-06;5.72E-07;1.41E-06;4.67E-06;4.77E-09;0.000156683;3.76E-09;1.10E-07;1.31E-07;1.65E-07;6.71E-05;6.02E-09;4.12E-09;2.64E-06;1.00E-07;7.98E-06;3.00E-07;0.673693941;0.008611759;9.91E-12;3.59E-11;1.10E-08;2.54E-08
0.00640625;-0.429743743;80.05803672;-2646.530354;1.35E-01;1982.654238;0.16511534;0.024000154;0.003345555;0.000235526;0.002952598;0.002256411;0.162781163;1.26E-06;7.46E-08;8.39E-06;4.98E-06;2.73E-05;1.78E-06;0.000182754;0.000139584;0.047587408;0.069393691;4.88E-06;5.08E-05;1.00E-06;4.07E-08;1.32E-06;3.96E-06;0.00161026;9.64E-07;9.40E-06;4.74E-08;1.31E-07;3.34E-05;4.05E-05;7.53E-06;1.55E-06;5.62E-07;1.24E-06;3.54E-06;5.36E-09;0.000164131;5.04E-09;1.08E-07;1.30E-07;1.67E-07;5.79E-05;4.09E-09;3.82E-09;2.28E-06;9.67E-08;7.04E-06;3.36E-07;0.676429724;0.008648275;3.46E-12;1.08E-11;8.82E-09;1.83E-08
0.0064375;-0.43458836;79.68220845;-2646.530354;1.32E-01;1985.726327;0.165171614;0.021950548;0.003676993;0.000373218;0.003799141;0.002771216;0.163147881;1.52E-06;8.90E-08;6.63E-06;4.20E-06;2.10E-05;1.44E-06;0.000118084;8.26E-05;0.044895966;0.070075894;4.35E-06;3.93E-05;7.82E-07;3.27E-08;9.20E-07;2.76E-06;0.000919519;5.34E-07;4.44E-06;1.97E-08;5.05E-08;2.71E-05;2.80E-05;4.88E-06;1.35E-06;5.26E-07;1.04E-06;2.58E-06;5.92E-09;0.000171334;6.72E-09;1.07E-07;1.25E-07;1.57E-07;4.82E-05;2.40E-09;3.16E-09;1.84E-06;8.99E-08;5.99E-06;3.59E-07;0.679122832;0.008684271;1.02E-12;2.84E-12;6.46E-09;1.15E-08
0.006453125;-0.436733004;79.49051531;-2646.530354;1.30E-01;1986.039485;0.16530149;0.020932509;0.003829802;0.000460382;0.00431656;0.003050007;0.163262665;1.67E-06;9.69E-08;5.57E-06;3.66E-06;1.76E-05;1.23E-06;9.15E-05;6.18E-05;0.043427349;0.070390577;3.92E-06;3.33E-05;6.61E-07;2.81E-08;7.41E-07;2.20E-06;0.000668164;3.79E-07;2.91E-06;1.18E-08;2.91E-08;2.32E-05;2.26E-05;3.78E-06;1.22E-06;5.00E-07;9.34E-07;2.17E-06;6.18E-09;0.000174624;7.72E-09;1.06E-07;1.21E-07;1.48E-07;4.34E-05;1.74E-09;2.74E-09;1.61E-06;8.54E-08;5.44E-06;3.62E-07;0.68045244;0.00870206;4.87E-13;1.28E-12;5.27E-09;8.61E-09
0.00646875;-0.438701947;79.29627123;-2646.530354;1.28E-01;1985.584609;0.165494994;0.019926212;0.003971293;0.000559468;0.00490132;0.003339431;0.163324606;1.82E-06;1.05E-07;4.48E-06;3.06E-06;1.42E-05;1.01E-06;6.89E-05;4.55E-05;0.041891896;0.070681488;3.42E-06;2.72E-05;5.41E-07;2.34E-08;5.82E-07;1.70E-06;0.000472771;2.60E-07;1.85E-06;6.72E-09;1.62E-08;1.91E-05;1.77E-05;2.85E-06;1.07E-06;4.69E-07;8.27E-07;1.81E-06;6.42E-09;0.000177632;8.83E-09;1.06E-07;1.16E-07;1.38E-07;3.87E-05;1.23E-09;2.28E-09;1.38E-06;8.02E-08;4.90E-06;3.60E-07;0.681769882;0.008719697;2.19E-13;5.51E-13;4.16E-09;6.17E-09
0.006484375;-0.440508929;79.09947494;-2646.530354;1.26E-01;1984.426499;0.165746644;0.018938776;0.004099015;0.000669591;0.005557345;0.003635286;0.163327418;1.99E-06;1.14E-07;3.45E-06;2.45E-06;1.10E-05;8.05E-07;5.04E-05;3.28E-05;0.040306673;0.070942633;2.88E-06;2.16E-05;4.27E-07;1.88E-08;4.44E-07;1.27E-06;0.000325232;1.73E-07;1.14E-06;3.65E-09;8.55E-09;1.52E-05;1.36E-05;2.09E-06;9.28E-07;4.34E-07;7.23E-07;1.49E-06;6.63E-09;0.000180291;1.00E-08;1.06E-07;1.10E-07;1.26E-07;3.41E-05;8.52E-10;1.83E-09;1.16E-06;7.46E-08;4.38E-06;3.53E-07;0.683074701;0.008737176;9.26E-14;2.22E-13;3.18E-09;4.24E-09
0.0065;-0.442170395;78.90012968;-2646.530354;1.25E-01;1982.641425;0.166050096;0.017976932;0.004210917;0.000789323;0.006287658;0.003932952;0.163266032;2.16E-06;1.23E-07;2.54E-06;1.89E-06;8.25E-06;6.15E-07;3.58E-05;2.32E-05;0.038690027;0.071168305;2.33E-06;1.66E-05;3.26E-07;1.46E-08;3.29E-07;9.09E-07;0.000216924;1.11E-07;6.75E-07;1.86E-09;4.23E-09;1.16E-05;1.01E-05;1.48E-06;7.90E-07;3.96E-07;6.24E-07;1.21E-06;6.81E-09;0.000182546;1.13E-08;1.07E-07;1.04E-07;1.13E-07;2.99E-05;5.83E-10;1.41E-09;9.54E-07;6.85E-08;3.87E-06;3.40E-07;0.684366411;0.008754488;3.47E-14;8.00E-14;2.33E-09;2.78E-09
0.00653125;-0.445109087;78.49382385;-2646.530354;1.21E-01;1977.43668;0.166792788;0.016146396;0.004382833;0.001052089;0.007976832;0.004519805;0.162940729;2.56E-06;1.43E-07;1.21E-06;9.95E-07;4.20E-06;3.26E-07;1.67E-05;1.12E-05;0.035416278;0.071498753;1.39E-06;8.88E-06;1.73E-07;8.10E-09;1.68E-07;4.36E-07;9.19E-05;4.36E-08;2.33E-07;4.56E-10;1.01E-09;6.18E-06;5.25E-06;7.04E-07;5.48E-07;3.18E-07;4.47E-07;7.89E-07;7.09E-09;0.000185745;1.41E-08;1.08E-07;8.91E-08;8.72E-08;2.23E-05;2.84E-10;7.55E-10;6.10E-07;5.60E-08;2.94E-06;3.03E-07;0.686910621;0.008788615;5.30E-15;1.15E-14;1.19E-09;1.10E-09
0.0065625;-0.447662414;78.07756727;-2646.530354;1.18E-01;1970.62068;0.167669241;0.014474205;0.00447917;0.001331395;0.009975047;0.00506379;0.162334017;3.02E-06;1.64E-07;4.93E-07;4.55E-07;1.89E-06;1.51E-07;7.08E-06;5.03E-06;0.032214057;0.071636251;7.30E-07;4.23E-06;8.07E-08;3.97E-09;7.69E-08;1.86E-07;3.55E-05;1.57E-08;7.44E-08;9.58E-11;2.07E-10;2.90E-06;2.50E-06;3.03E-07;3.69E-07;2.44E-07;3.07E-07;4.96E-07;7.23E-09;0.000187121;1.71E-08;1.12E-07;7.41E-08;6.43E-08;1.61E-05;1.55E-10;3.52E-10;3.65E-07;4.39E-08;2.17E-06;2.55E-07;0.689397481;0.008822007;6.66E-16;1.39E-15;5.49E-10;3.85E-10
0.00659375;-0.449917726;77.65154513;-2646.530354;1.15E-01;1962.589454;0.168647633;0.012972157;0.004502107;0.001612801;0.012275075;0.005542247;0.161456655;3.54E-06;1.85E-07;1.72E-07;1.80E-07;7.50E-07;6.16E-08;2.71E-06;2.11E-06;0.029168392;0.071563238;3.46E-07;1.79E-06;3.33E-08;1.72E-09;3.18E-08;7.01E-08;1.25E-05;5.19E-09;2.21E-08;1.79E-11;3.65E-11;1.20E-06;1.09E-06;1.18E-07;2.45E-07;1.81E-07;2.03E-07;3.03E-07;7.25E-09;0.000186832;2.02E-08;1.18E-07;6.02E-08;4.56E-08;1.13E-05;9.48E-11;1.43E-10;2.06E-07;3.32E-08;1.57E-06;2.05E-07;0.691824496;0.008854626;7.18E-17;1.45E-16;2.30E-10;1.22E-10
0.006625;-0.451921013;77.2159791;-2646.530354;1.11E-01;1953.558071;0.169711772;0.011635149;0.0044597;0.001883842;0.01486092;0.005942211;0.160333618;4.11E-06;2.07E-07;4.78E-08;5.79E-08;2.46E-07;2.06E-08;8.81E-07;7.83E-07;0.026325286;0.07127505;1.48E-07;6.36E-07;1.14E-08;6.25E-10;1.11E-08;2.16E-08;3.64E-06;1.43E-09;5.44E-09;2.60E-12;4.57E-12;4.09E-07;4.12E-07;3.84E-08;1.60E-07;1.29E-07;1.30E-07;1.80E-07;7.16E-09;0.000185162;2.34E-08;1.25E-07;4.82E-08;3.12E-08;7.75E-06;6.17E-11;4.76E-11;1.09E-07;2.44E-08;1.11E-06;1.58E-07;0.69419093;0.008886456;5.15E-18;1.01E-17;8.25E-11;3.16E-11
0.0066875;-0.455214641;76.31716396;-2646.530354;1.05E-01;1932.773094;0.172086217;0.00940337;0.004212685;0.00236328;0.020831252;0.006492283;0.157443882;5.38E-06;2.47E-07;4.39E-09;7.07E-09;3.28E-08;2.80E-09;1.19E-07;1.34E-07;0.021284074;0.070075179;4.48E-08;9.69E-08;1.62E-09;9.88E-11;1.70E-09;2.65E-09;4.26E-07;1.61E-10;5.72E-10;1.54E-13;1.87E-13;5.86E-08;7.09E-08;5.34E-09;7.09E-08;6.39E-08;5.35E-08;6.57E-08;6.70E-09;0.000178646;2.97E-08;1.46E-07;3.16E-08;1.38E-08;3.56E-06;2.80E-11;6.25E-12;3.30E-08;1.26E-08;5.58E-07;8.81E-08;0.698756064;0.008947917;1.20E-19;2.49E-19;1.38E-11;3.54E-12
0.00675;-0.45748549;75.38355752;-2646.530354;9.94E-02;1908.182435;0.174826698;0.007630405;0.003831789;0.002724072;0.027661751;0.006729818;0.153911417;6.72E-06;2.86E-07;3.23E-10;7.13E-10;3.78E-09;3.25E-10;1.47E-08;2.19E-08;0.017077623;0.06814907;2.25E-08;1.32E-08;1.99E-10;1.38E-11;2.36E-10;2.74E-10;4.45E-08;1.64E-11;5.84E-11;1.12E-14;7.16E-15;7.23E-09;1.13E-08;6.63E-10;3.11E-08;3.06E-08;2.15E-08;2.38E-08;6.02E-09;0.000169932;3.61E-08;1.74E-07;2.20E-08;5.67E-09;1.58E-06;1.23E-11;6.88E-13;1.00E-08;6.17E-09;2.73E-07;4.51E-08;0.703098286;0.00900643;2.62E-21;5.99E-21;2.10E-12;3.90E-13
0.0068125;-0.458597781;74.41676307;-2646.530354;9.38E-02;1879.422067;0.178004075;0.006197462;0.003384977;0.002952682;0.03517135;0.006699755;0.149889619;8.11E-06;3.24E-07;2.07E-11;6.38E-11;4.02E-10;3.46E-11;1.80E-09;3.52E-09;0.01360725;0.065630889;1.49E-08;1.74E-09;2.29E-11;1.83E-12;3.20E-11;2.52E-11;4.35E-09;1.57E-12;5.97E-12;9.99E-16;2.85E-16;8.07E-10;1.75E-09;7.67E-11;1.39E-08;1.49E-08;8.60E-09;8.78E-09;5.24E-09;0.000160266;4.26E-08;2.06E-07;1.68E-08;2.20E-09;6.87E-07;5.29E-12;6.81E-14;3.13E-09;2.91E-09;1.33E-07;2.18E-08;0.707233939;0.00906218;5.66E-23;1.49E-22;3.12E-13;4.38E-14
0.006875;-0.458420617;73.41820094;-2646.530354;8.85E-02;1846.168854;0.181697595;0.005021913;0.002919268;0.003052237;0.04320718;0.006451495;0.14547304;9.56E-06;3.65E-07;1.26E-12;5.42E-12;4.21E-11;3.61E-12;2.30E-10;5.78E-10;0.010768771;0.062651079;1.05E-08;2.46E-10;2.62E-12;2.46E-13;4.52E-12;2.14E-12;4.12E-10;1.46E-13;6.26E-13;1.01E-16;1.32E-17;8.61E-11;2.70E-10;8.61E-12;6.64E-09;7.75E-09;3.48E-09;3.34E-09;4.43E-09;0.000150308;4.94E-08;2.42E-07;1.39E-08;8.28E-10;3.00E-07;2.27E-12;6.48E-15;1.02E-09;1.36E-09;6.42E-08;1.02E-08;0.711178706;0.009115354;1.27E-24;3.95E-24;4.68E-14;5.10E-15
0.0069375;-0.456844703;72.38914505;-2646.530354;8.34E-02;1808.196214;0.185991327;0.004049115;0.002464965;0.003035135;0.051643309;0.006032573;0.1407174;1.11E-05;4.10E-07;7.98E-14;4.67E-13;4.60E-12;3.92E-13;3.13E-11;9.91E-11;0.008467868;0.059324218;7.30E-09;4.55E-11;3.14E-13;3.53E-14;6.90E-13;1.75E-13;3.90E-11;1.36E-14;6.84E-14;1.11E-17;8.19E-19;9.19E-12;4.27E-11;9.67E-13;3.42E-09;4.47E-09;1.43E-09;1.31E-09;3.65E-09;0.000140386;5.68E-08;2.79E-07;1.23E-08;3.02E-10;1.32E-07;9.89E-13;6.33E-16;3.52E-10;6.26E-10;3.12E-08;4.71E-09;0.714946857;0.009166124;3.05E-26;1.14E-25;7.34E-15;6.24E-16
0.007;-0.45378734;71.33077069;-2646.530354;7.85E-02;1765.385244;0.190974999;0.003242004;0.002040704;0.002918748;0.060371837;0.005488647;0.135657418;1.28E-05;4.63E-07;4.85E-15;3.44E-14;4.42E-13;3.65E-14;3.69E-12;1.45E-11;0.006622245;0.055747965;5.03E-09;1.29E-11;3.20E-14;4.40E-15;9.32E-14;1.03E-14;2.80E-12;9.70E-16;5.95E-15;1.00E-18;5.39E-20;7.78E-13;5.56E-12;8.39E-14;1.86E-09;2.83E-09;5.83E-10;5.10E-10;2.93E-09;0.000130656;6.51E-08;3.15E-07;1.12E-08;1.04E-10;5.75E-08;4.27E-13;5.34E-17;1.17E-10;2.79E-10;1.49E-08;2.08E-09;0.718551414;0.009214647;5.72E-28;2.56E-27;9.71E-16;6.21E-17
0.007125;-0.442999105;69.12929762;-2646.530354;6.93E-02;1665.206352;0.203437826;0.002026534;0.001302406;0.002444782;0.078637537;0.004159828;0.124549056;1.67E-05;6.15E-07;1.26E-16;1.05E-15;2.41E-14;1.71E-15;2.51E-13;1.37E-12;0.004023009;0.048011848;2.27E-09;4.13E-12;1.66E-15;3.55E-16;9.26E-15;2.52E-16;1.17E-13;3.60E-17;3.19E-16;6.13E-20;3.26E-21;3.62E-14;4.38E-13;4.63E-15;6.39E-10;1.45E-09;1.43E-10;1.28E-10;1.72E-09;0.000111744;8.74E-08;3.78E-07;9.83E-09;1.71E-11;1.70E-08;1.28E-13;2.28E-18;2.59E-11;8.21E-11;4.86E-09;5.76E-10;0.725408681;0.009306772;7.33E-30;3.90E-29;8.84E-17;3.79E-18
0.0071875;-0.435356593;67.99166834;-2646.530354;6.51E-02;1608.52552;0.211088478;0.001588367;0.001009739;0.002142021;0.087709361;0.003475564;0.118720062;1.90E-05;7.31E-07;2.00E-17;1.46E-16;4.71E-15;2.89E-16;5.17E-14;3.49E-13;0.003136169;0.044149069;1.50E-09;2.61E-12;3.26E-16;8.41E-17;2.45E-15;2.18E-17;1.47E-14;4.20E-18;4.97E-17;1.06E-20;6.34E-22;5.33E-15;9.30E-14;7.39E-16;3.66E-10;1.04E-09;7.04E-11;6.38E-11;1.27E-09;0.000102921;1.03E-07;3.95E-07;9.35E-09;6.49E-12;9.39E-09;7.31E-14;3.77E-19;1.19E-11;4.39E-11;2.81E-09;2.97E-10;0.728596971;0.0093495;6.51E-31;2.06E-30;2.10E-17;6.62E-19
0.00725;-0.426195093;66.8295217;-2646.530354;6.09E-02;1547.627864;0.219885696;0.001243759;0.000763088;0.001816301;0.096739741;0.002812819;0.112673582;2.16E-05;8.93E-07;3.69E-18;2.42E-17;1.11E-15;5.67E-17;1.23E-14;1.02E-13;0.002463178;0.040311053;9.74E-10;1.76E-12;8.79E-17;2.40E-17;7.66E-16;2.03E-18;2.08E-15;5.45E-19;8.80E-18;2.10E-21;1.51E-22;9.02E-16;2.18E-14;1.36E-16;2.05E-10;7.37E-10;3.65E-11;3.39E-11;8.99E-10;9.44E-05;1.24E-07;4.00E-07;8.95E-09;2.52E-12;5.60E-09;4.59E-14;7.56E-20;5.83E-12;2.47E-11;1.72E-09;1.60E-10;0.731668394;0.009390571;1.31E-31;1.34E-31;5.71E-18;1.31E-19
0.0073125;-0.415573766;65.64440066;-2646.530354;5.70E-02;1482.902197;0.22998616;0.000979666;0.000559989;0.0014866;0.105653114;0.002200697;0.106437689;2.46E-05;1.13E-06;6.88E-19;4.39E-18;2.92E-16;1.25E-17;3.38E-15;3.42E-14;0.00195799;0.036547782;6.23E-10;1.24E-12;3.28E-17;8.40E-18;2.83E-16;2.04E-19;3.43E-16;7.92E-20;1.79E-18;4.90E-22;4.42E-23;1.72E-16;5.71E-15;2.96E-17;1.12E-10;5.06E-10;1.97E-11;1.93E-11;6.13E-10;8.63E-05;1.53E-07;3.93E-07;8.62E-09;9.96E-13;3.63E-09;3.19E-14;1.67E-20;3.09E-12;1.48E-11;1.12E-09;9.14E-11;0.734633737;0.009430123;4.24E-32;1.13E-32;1.80E-18;2.99E-20
0.007375;-0.403581081;64.43812038;-2646.530354;5.32E-02;1414.829514;0.241569021;0.000783595;0.000397032;0.001169496;0.114380514;0.001660905;0.100046065;2.79E-05;1.48E-06;1.22E-19;8.24E-19;8.25E-17;3.03E-18;1.07E-15;1.35E-14;0.001581014;0.032901376;3.90E-10;9.25E-13;1.55E-17;3.68E-18;1.24E-16;2.25E-20;6.75E-17;1.31E-20;4.26E-19;1.35E-22;1.59E-23;3.65E-17;1.69E-15;7.77E-18;5.83E-11;3.36E-10;1.11E-11;1.17E-11;3.99E-10;7.86E-05;1.96E-07;3.75E-07;8.31E-09;3.98E-13;2.55E-09;2.46E-14;3.85E-21;1.77E-12;9.38E-12;7.87E-10;5.48E-11;0.737503203;0.009468289;1.86E-32;1.40E-33;6.65E-19;8.00E-21
0.0074375;-0.390336497;63.21285624;-2646.530354;4.95E-02;1343.98286;0.254837534;0.000642955;0.000270201;0.000879355;0.122858907;0.001207305;0.093539383;3.14E-05;2.04E-06;1.98E-20;1.54E-19;2.41E-17;8.00E-19;3.88E-16;6.22E-15;0.001299185;0.02940618;2.38E-10;7.17E-13;8.30E-18;2.03E-18;6.45E-17;2.74E-21;1.61E-17;2.48E-21;1.19E-19;4.39E-23;7.09E-24;8.52E-18;5.66E-16;2.50E-18;2.89E-11;2.13E-10;6.45E-12;7.54E-12;2.45E-10;7.11E-05;2.63E-07;3.48E-07;8.01E-09;1.59E-13;1.92E-09;2.09E-14;8.86E-22;1.10E-12;6.30E-12;5.85E-10;3.43E-11;0.740286103;0.009505188;1.05E-32;3.70E-34;2.88E-19;2.55E-21
0.0075;-0.375992296;61.97124539;-2646.530354;4.59E-02;1271.027881;0.27001894;0.000545116;0.000175104;0.000627951;0.131032188;0.000844999;0.086965473;3.51E-05;2.92E-06;2.80E-21;2.80E-20;7.15E-18;2.29E-19;1.64E-16;3.36E-15;0.001085925;0.026088986;1.39E-10;5.74E-13;4.61E-18;1.36E-18;3.98E-17;3.76E-22;4.74E-18;5.45E-22;3.99E-20;1.69E-23;3.92E-24;2.18E-18;2.17E-16;9.90E-19;1.35E-11;1.30E-10;3.87E-12;5.17E-12;1.41E-10;6.40E-05;3.76E-07;3.16E-07;7.68E-09;6.24E-14;1.54E-09;1.92E-14;1.97E-22;7.39E-13;4.46E-12;4.58E-10;2.22E-11;0.74299059;0.009540925;7.70E-33;2.87E-34;1.47E-19;9.80E-22
0.0075625;-0.360734504;60.71650183;-2646.530354;4.24E-02;1196.719635;0.287361907;0.000478142;0.000107031;0.00042349;0.1388532;0.000570246;0.080377787;3.84E-05;4.12E-06;3.37E-22;4.79E-21;2.10E-18;7.17E-20;7.87E-17;2.10E-15;0.000920826;0.022969573;7.74E-11;4.64E-13;2.50E-18;1.05E-18;2.88E-17;5.78E-23;1.74E-18;1.39E-22;1.60E-20;7.62E-24;2.61E-24;6.06E-19;9.49E-17;4.81E-19;5.99E-12;7.57E-11;2.39E-12;3.74E-12;7.52E-11;5.72E-05;5.75E-07;2.82E-07;7.27E-09;2.36E-14;1.28E-09;1.87E-14;4.11E-23;5.35E-13;3.33E-12;3.72E-10;1.46E-11;0.745623444;0.009575587;7.24E-33;4.49E-34;8.65E-20;4.51E-22
0.007625;-0.344781349;59.45254061;-2646.530354;3.91E-02;1121.890173;0.307131066;0.000431788;6.10E-05;0.000269101;0.146285793;0.000372086;0.073832297;4.10E-05;5.35E-06;3.43E-23;7.57E-22;6.10E-19;2.44E-20;4.23E-17;1.48E-15;0.000788997;0.02006159;4.02E-11;3.68E-13;1.25E-18;8.86E-19;2.37E-17;9.93E-24;7.89E-19;4.00E-23;7.65E-21;3.85E-24;1.92E-24;1.83E-19;4.72E-17;2.81E-19;2.52E-12;4.30E-11;1.50E-12;2.85E-12;3.65E-11;5.07E-05;9.31E-07;2.48E-07;6.71E-09;8.48E-15;1.08E-09;1.90E-14;7.97E-24;4.12E-13;2.60E-12;3.10E-10;9.62E-12;0.748189923;0.009609239;8.65E-33;8.21E-34;5.74E-20;2.44E-22
0.0076875;-0.328377382;58.18409943;-2646.530354;3.58E-02;1047.420993;0.329599086;0.000398234;3.20E-05;0.000161805;0.153305243;0.000235624;0.067383675;4.17E-05;6.21E-06;2.88E-24;1.10E-22;1.75E-19;8.94E-21;2.45E-17;1.14E-15;0.000680127;0.017373701;1.92E-11;2.79E-13;5.52E-19;7.68E-19;2.11E-17;1.87E-24;4.34E-19;1.25E-23;4.31E-21;2.07E-24;1.30E-24;5.93E-20;2.64E-17;1.91E-19;1.03E-12;2.40E-11;9.61E-13;2.26E-12;1.59E-11;4.43E-05;1.52E-06;2.15E-07;5.92E-09;2.86E-15;9.30E-10;1.99E-14;1.43E-24;3.31E-13;2.11E-12;2.61E-10;6.34E-12;0.750693651;0.009641924;1.24E-32;1.33E-33;4.06E-20;1.48E-22
0.00775;-0.311783044;56.91683761;-2646.530354;3.26E-02;974.2009247;0.355036778;0.000372174;1.53E-05;9.33E-05;0.159896024;0.000145579;0.06108249;3.99E-05;6.52E-06;3.36E-25;1.51E-23;5.18E-20;3.40E-21;1.48E-17;9.31E-16;0.000587428;0.014910714;8.34E-12;1.98E-13;2.06E-19;6.62E-19;1.93E-17;3.71E-25;2.79E-19;3.98E-24;2.77E-21;1.10E-24;5.01E-25;2.06E-20;1.63E-17;1.43E-19;4.08E-13;1.32E-11;6.23E-13;1.85E-12;6.14E-12;3.80E-05;2.37E-06;1.85E-07;4.90E-09;8.92E-16;7.98E-10;2.10E-14;2.43E-25;2.73E-13;1.76E-12;2.20E-10;4.14E-12;0.753136334;0.009673664;1.91E-32;1.67E-33;2.82E-20;9.51E-23
0.0078125;-0.29526045;55.65738682;-2646.530354;2.96E-02;903.074341;0.383702466;0.00035035;6.58E-06;5.27E-05;0.166047655;8.85E-05;0.054974387;3.51E-05;6.35E-06;0;2.03E-24;1.65E-20;1.32E-21;9.05E-18;7.82E-16;0.000506633;0.012674484;3.24E-12;1.31E-13;6.43E-20;5.60E-19;1.77E-17;7.46E-26;1.99E-19;1.23E-24;1.95E-21;5.37E-25;0;7.55E-21;1.09E-17;1.13E-19;1.58E-13;7.09E-12;4.10E-13;1.55E-12;2.06E-12;3.20E-05;3.35E-06;1.57E-07;3.76E-09;2.58E-16;6.81E-10;2.24E-14;4.10E-26;2.28E-13;1.47E-12;1.85E-10;2.67E-12;0.75551724;0.009704444;3.37E-33;1.37E-33;1.77E-20;6.19E-23
0.007875;-0.279056519;54.41332502;-2646.530354;2.66E-02;834.786122;0.415833632;0.000330875;2.54E-06;2.98E-05;0.171750931;5.37E-05;0.049100603;2.83E-05;5.87E-06;1.24E-25;2.72E-25;5.77E-21;5.12E-22;5.55E-18;6.67E-16;0.000435177;0.01066446;1.12E-12;8.27E-14;1.71E-20;4.59E-19;1.59E-17;1.47E-26;1.52E-19;3.60E-25;1.47E-21;2.28E-25;0;2.92E-21;7.66E-18;9.13E-20;5.94E-14;3.59E-12;2.77E-13;1.31E-12;6.01E-13;2.65E-05;4.21E-06;1.32E-07;2.69E-09;6.91E-17;5.77E-10;2.39E-14;6.96E-27;1.90E-13;1.23E-12;1.55E-10;1.68E-12;0.757832673;0.009734214;4.95E-33;1.15E-33;9.34E-21;4.02E-23
